Difficulty,Word,Sentence Number,Text,Output Filename
1,cat,1,The cat is sleeping on the couch.,difficulty_1/cat_sentence1.wav
1,cat,2,I saw a black cat in the garden.,difficulty_1/cat_sentence2.wav
1,cat,3,My cat loves to play with yarn.,difficulty_1/cat_sentence3.wav
1,dog,1,The dog barked at the mailman.,difficulty_1/dog_sentence1.wav
1,dog,2,My dog likes to fetch the ball.,difficulty_1/dog_sentence2.wav
1,dog,3,The brown dog wagged its tail.,difficulty_1/dog_sentence3.wav
1,sun,1,The sun is shining brightly today.,difficulty_1/sun_sentence1.wav
1,sun,2,We love playing in the sun.,difficulty_1/sun_sentence2.wav
1,sun,3,The sun rises in the morning.,difficulty_1/sun_sentence3.wav
1,run,1,I can run very fast.,difficulty_1/run_sentence1.wav
1,run,2,Let's run to the park together.,difficulty_1/run_sentence2.wav
1,run,3,The children run around the playground.,difficulty_1/run_sentence3.wav
1,big,1,That is a big elephant.,difficulty_1/big_sentence1.wav
1,big,2,My brother wears big shoes.,difficulty_1/big_sentence2.wav
1,big,3,We live in a big house.,difficulty_1/big_sentence3.wav
1,red,1,I have a red crayon.,difficulty_1/red_sentence1.wav
1,red,2,The apple is bright red.,difficulty_1/red_sentence2.wav
1,red,3,She wore a red dress today.,difficulty_1/red_sentence3.wav
1,hat,1,I wear a hat when it's cold.,difficulty_1/hat_sentence1.wav
1,hat,2,The blue hat looks nice.,difficulty_1/hat_sentence2.wav
1,hat,3,Dad forgot his hat at home.,difficulty_1/hat_sentence3.wav
1,sit,1,Please sit down on the chair.,difficulty_1/sit_sentence1.wav
1,sit,2,We sit together at lunch.,difficulty_1/sit_sentence2.wav
1,sit,3,The dog will sit when you ask.,difficulty_1/sit_sentence3.wav
1,cup,1,I drink water from a cup.,difficulty_1/cup_sentence1.wav
1,cup,2,The cup is on the table.,difficulty_1/cup_sentence2.wav
1,cup,3,Mom filled the cup with juice.,difficulty_1/cup_sentence3.wav
1,bed,1,I sleep in my bed at night.,difficulty_1/bed_sentence1.wav
1,bed,2,The bed has soft pillows.,difficulty_1/bed_sentence2.wav
1,bed,3,Time to go to bed now.,difficulty_1/bed_sentence3.wav
1,mom,1,My mom makes the best cookies.,difficulty_1/mom_sentence1.wav
1,mom,2,Mom reads me stories at bedtime.,difficulty_1/mom_sentence2.wav
1,mom,3,I love my mom very much.,difficulty_1/mom_sentence3.wav
1,dad,1,Dad drives us to school.,difficulty_1/dad_sentence1.wav
1,dad,2,My dad is very tall.,difficulty_1/dad_sentence2.wav
1,dad,3,Dad helps me with my homework.,difficulty_1/dad_sentence3.wav
1,pet,1,I have a pet hamster.,difficulty_1/pet_sentence1.wav
1,pet,2,We take care of our pet every day.,difficulty_1/pet_sentence2.wav
1,pet,3,My pet likes to eat carrots.,difficulty_1/pet_sentence3.wav
1,fun,1,Playing games is so much fun.,difficulty_1/fun_sentence1.wav
1,fun,2,We had fun at the park today.,difficulty_1/fun_sentence2.wav
1,fun,3,Birthday parties are always fun.,difficulty_1/fun_sentence3.wav
1,hot,1,The soup is very hot.,difficulty_1/hot_sentence1.wav
1,hot,2,It feels hot outside today.,difficulty_1/hot_sentence2.wav
1,hot,3,"Be careful, the stove is hot.",difficulty_1/hot_sentence3.wav
1,top,1,The book is on top of the desk.,difficulty_1/top_sentence1.wav
1,top,2,I climbed to the top of the hill.,difficulty_1/top_sentence2.wav
1,top,3,The toy is on the top shelf.,difficulty_1/top_sentence3.wav
1,box,1,I put my toys in a box.,difficulty_1/box_sentence1.wav
1,box,2,The box is full of books.,difficulty_1/box_sentence2.wav
1,box,3,Can you open the box for me?,difficulty_1/box_sentence3.wav
1,fox,1,The fox has a bushy tail.,difficulty_1/fox_sentence1.wav
1,fox,2,We saw a red fox in the woods.,difficulty_1/fox_sentence2.wav
1,fox,3,The fox ran across the field.,difficulty_1/fox_sentence3.wav
1,yes,1,"Yes, I would like some ice cream.",difficulty_1/yes_sentence1.wav
1,yes,2,She said yes when I asked.,difficulty_1/yes_sentence2.wav
1,yes,3,"Yes, we can go to the park.",difficulty_1/yes_sentence3.wav
1,bus,1,The bus takes us to school.,difficulty_1/bus_sentence1.wav
1,bus,2,We wait for the yellow bus.,difficulty_1/bus_sentence2.wav
1,bus,3,The bus stops at the corner.,difficulty_1/bus_sentence3.wav
2,ball,1,Let's kick the ball around.,difficulty_2/ball_sentence1.wav
